Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification
X3,2011,Middle East,Red,Hybrid,Automatic,1.7,44717,55712,Low
X3,2013,South America,Silver,Petrol,Automatic,3.5,193674,114144,Low
X3,2014,Asia,Blue,Petrol,Automatic,2.1,126827,61527,High
5 Series,2010,Middle East,Red,Hybrid,Manual,2.8,142775,111586,Low
M3,2017,Middle East,Blue,Diesel,Automatic,2.4,198528,79571,Low
M3,2017,Africa,Blue,Electric,Automatic,3.7,121373,54737,Low
5 Series,2015,South America,Black,Diesel,Manual,4.5,10299,55956,Low
X1,2021,Europe,Red,Electric,Manual,3.7,187304,87012,High
X3,2014,Asia,Grey,Diesel,Manual,3.4,7347,82092,Low
X1,2017,Asia,Red,Hybrid,Automatic,3.8,57293,35792,Low
3 Series,2012,Europe,Black,Diesel,Automatic,1.6,79981,68757,Low
X3,2012,South America,White,Hybrid,Manual,1.9,21789,106623,High
7 Series,2011,Asia,Grey,Petrol,Manual,1.8,40139,37413,Low
3 Series,2014,South America,Grey,Electric,Automatic,1.8,32115,36385,Low
X1,2012,Middle East,Grey,Petrol,Automatic,2.4,90918,39063,High
X3,2012,Africa,Blue,Diesel,Manual,3.4,117825,75377,Low
X6,2024,Middle East,Red,Electric,Manual,1.9,87254,30617,Low
M5,2015,Middle East,Red,Hybrid,Manual,4.8,177017,32357,Low
7 Series,2017,Asia,White,Diesel,Automatic,4.5,62410,49196,Low
3 Series,2011,Europe,Grey,Electric,Manual,4.9,144047,35316,Low
X1,2013,Asia,Black,Electric,Manual,1.6,140556,61567,Low
M3,2020,Asia,Grey,Diesel,Manual,4.5,133949,93423,Low
X5,2016,Africa,White,Petrol,Manual,4.3,100881,94621,Low
5 Series,2010,Asia,Silver,Hybrid,Automatic,4.7,4242,108473,Low
3 Series,2010,Europe,Black,Petrol,Automatic,3.3,79002,88321,Low
3 Series,2021,North America,Red,Diesel,Manual,4.3,152458,104876,Low
X3,2022,Europe,Red,Diesel,Automatic,1.7,104948,111970,High
X6,2019,Asia,Silver,Hybrid,Manual,1.8,128029,37898,High
i3,2016,South America,Black,Petrol,Automatic,1.9,78464,55472,Low
X5,2023,Africa,Red,Electric,Automatic,4.7,119943,99400,Low
X5,2016,North America,Silver,Electric,Manual,1.7,18069,32529,High
7 Series,2010,Africa,Silver,Electric,Manual,1.9,145555,67397,Low
X3,2010,Middle East,Blue,Electric,Manual,4.8,13133,87891,Low
7 Series,2013,Middle East,Blue,Diesel,Manual,1.9,142989,111690,Low
X6,2014,Europe,Grey,Petrol,Manual,4.5,142159,32285,Low
5 Series,2014,North America,Blue,Petrol,Manual,4.3,145190,46860,Low
X5,2013,North America,Red,Hybrid,Manual,1.6,54139,119907,Low
i8,2017,Asia,White,Hybrid,Automatic,1.6,48732,109706,Low
5 Series,2016,Africa,Red,Diesel,Automatic,3.4,142629,115327,High
3 Series,2018,Africa,Red,Petrol,Automatic,5.0,193841,47543,High
i3,2016,South America,Blue,Diesel,Manual,4.6,88089,99693,High
X6,2024,South America,Silver,Diesel,Automatic,2.6,164528,48374,Low
X6,2019,Europe,Black,Hybrid,Manual,2.9,33891,81234,Low
X5,2010,North America,Blue,Petrol,Manual,2.9,75416,66348,Low
X6,2022,Middle East,Black,Petrol,Manual,4.1,76398,37125,Low
X5,2023,North America,Silver,Electric,Manual,2.7,144487,89860,Low
X1,2016,Middle East,White,Diesel,Manual,2.0,136602,90185,Low
X1,2010,North America,Blue,Diesel,Manual,4.1,127615,88351,Low
i8,2016,South America,Black,Electric,Automatic,3.1,154826,41079,Low
X1,2019,Asia,Black,Electric,Manual,1.8,87948,95855,Low
X6,2017,Asia,Grey,Hybrid,Manual,4.3,58244,73773,High
7 Series,2020,Africa,Red,Petrol,Automatic,3.5,135238,84854,Low
7 Series,2018,Europe,Blue,Petrol,Automatic,3.2,165516,31667,Low
5 Series,2021,Europe,Grey,Petrol,Manual,3.9,131823,60223,Low
5 Series,2012,South America,Blue,Hybrid,Automatic,3.3,174679,39067,Low
i3,2024,North America,Silver,Petrol,Manual,3.8,106863,99900,High
M5,2013,Asia,Black,Electric,Manual,4.5,127127,32737,Low
X6,2013,Asia,White,Diesel,Manual,3.6,115425,46706,High
i8,2021,North America,Blue,Electric,Automatic,3.8,128707,107215,Low
5 Series,2018,Asia,Black,Hybrid,Automatic,3.6,83,30514,High
X5,2022,South America,Silver,Electric,Manual,3.4,4664,35214,Low
X3,2016,Asia,Blue,Hybrid,Automatic,2.1,53563,46933,Low
i3,2012,South America,Red,Electric,Manual,2.7,77789,118258,Low
X3,2019,Asia,White,Diesel,Manual,3.9,154468,34589,High
X6,2014,Asia,Silver,Diesel,Automatic,3.0,195734,39400,Low
X3,2016,Middle East,White,Hybrid,Manual,2.9,171691,34662,Low
X1,2017,Asia,Black,Petrol,Manual,4.2,145341,86218,High
5 Series,2010,Africa,Black,Electric,Automatic,1.5,78924,110399,High
M5,2021,South America,Silver,Petrol,Automatic,3.9,8047,77491,Low
3 Series,2011,Asia,Blue,Hybrid,Automatic,3.2,151973,103521,Low
3 Series,2016,North America,Black,Diesel,Manual,2.8,69945,117270,High
i3,2020,North America,White,Petrol,Manual,2.7,136054,81501,High
i3,2024,South America,Grey,Hybrid,Automatic,2.1,63340,48042,Low
X5,2022,Europe,White,Petrol,Manual,2.7,77709,66265,Low
X1,2023,Europe,Red,Electric,Automatic,2.9,179363,58575,High
7 Series,2022,North America,White,Hybrid,Manual,3.0,105400,38263,High
M3,2024,Africa,Silver,Hybrid,Automatic,3.9,173623,66141,Low
M5,2011,Europe,Blue,Petrol,Automatic,3.1,115880,44587,Low
M5,2016,Africa,Grey,Electric,Manual,4.3,150916,65019,Low
X1,2024,Africa,White,Hybrid,Manual,3.7,141823,67830,High
M3,2018,Asia,Black,Hybrid,Manual,2.2,106639,99412,High
X5,2020,Asia,White,Diesel,Automatic,2.5,31051,66310,Low
X3,2011,Africa,White,Hybrid,Manual,1.8,77584,45361,Low
M5,2016,Asia,White,Diesel,Automatic,4.8,70814,62706,Low
5 Series,2013,Asia,Red,Hybrid,Automatic,4.6,68491,113134,High
5 Series,2020,North America,Red,Electric,Automatic,1.8,10119,56250,Low
5 Series,2022,Asia,Red,Hybrid,Manual,3.5,34060,86571,High
X1,2011,Europe,White,Electric,Automatic,4.9,171268,116192,Low
i8,2022,North America,White,Diesel,Automatic,4.1,132039,55299,High
X6,2016,South America,Black,Diesel,Manual,3.2,163074,54717,Low
X1,2022,Africa,Black,Petrol,Automatic,2.3,168574,58565,High
5 Series,2014,South America,White,Electric,Automatic,2.5,68586,62661,Low
7 Series,2010,Middle East,Black,Hybrid,Manual,4.1,185796,30985,High
5 Series,2014,Africa,Silver,Hybrid,Manual,4.2,73711,68516,Low
i3,2021,Middle East,White,Hybrid,Manual,3.4,47913,41856,High
i8,2021,Middle East,Red,Petrol,Automatic,1.9,86296,97983,Low
X6,2012,South America,Black,Electric,Manual,4.8,180831,116310,Low
M3,2016,North America,Silver,Diesel,Manual,4.5,127567,108813,High
7 Series,2015,South America,White,Electric,Manual,2.0,21578,111949,Low
i3,2017,South America,Black,Hybrid,Automatic,1.7,96919,59410,High
M3,2022,South America,White,Diesel,Manual,3.4,170600,38468,High
3 Series,2014,North America,Black,Hybrid,Manual,2.5,164439,49114,High
5 Series,2011,Europe,Black,Petrol,Automatic,2.5,78261,79372,High
i3,2018,North America,Blue,Electric,Automatic,1.8,103846,53774,Low
3 Series,2023,Africa,Red,Electric,Manual,4.8,167227,100888,Low
M3,2020,Africa,Grey,Diesel,Manual,4.4,35196,115607,Low
X6,2017,Europe,Grey,Hybrid,Automatic,1.9,131117,88770,High
M3,2015,Asia,Blue,Diesel,Manual,4.6,134573,106307,Low
M5,2022,South America,Grey,Hybrid,Automatic,3.9,33685,119518,Low
X3,2019,North America,Blue,Hybrid,Manual,2.6,160081,51055,Low
3 Series,2016,Asia,White,Diesel,Automatic,4.5,141776,33987,Low
X3,2018,Africa,White,Petrol,Manual,3.6,119360,83073,Low
X3,2016,Middle East,Red,Diesel,Automatic,4.5,175755,106792,Low
i8,2012,Middle East,White,Hybrid,Automatic,3.1,47879,64151,Low
M3,2015,North America,Red,Petrol,Automatic,3.3,196875,49782,Low
M3,2020,Africa,Black,Petrol,Automatic,2.5,25958,105032,Low
7 Series,2022,South America,Silver,Hybrid,Automatic,2.9,106572,30857,High
X6,2020,Europe,Black,Electric,Manual,3.5,101819,61593,Low
M3,2016,Europe,Grey,Hybrid,Automatic,4.8,175228,59514,Low
X5,2011,Africa,Blue,Diesel,Manual,3.6,159736,110800,Low
X6,2012,Asia,Red,Electric,Automatic,2.0,113150,31256,High
M3,2013,Asia,Silver,Hybrid,Manual,1.5,86646,38124,Low
i3,2019,Asia,Black,Petrol,Automatic,4.5,113148,109292,Low
X1,2015,Asia,Black,Petrol,Manual,2.8,96425,49917,High
5 Series,2010,Asia,White,Hybrid,Automatic,2.6,28973,45950,Low
i8,2018,South America,Silver,Electric,Automatic,4.3,64319,49231,Low
5 Series,2014,Europe,Silver,Diesel,Automatic,4.8,166294,44059,Low
i8,2022,South America,Red,Electric,Manual,4.1,54708,103024,Low
i3,2021,Middle East,Black,Electric,Automatic,2.1,172608,65324,High
i3,2023,Europe,Grey,Hybrid,Manual,2.9,167734,94206,Low
7 Series,2016,Asia,Grey,Diesel,Manual,4.2,149926,104141,High
X5,2018,Middle East,Grey,Petrol,Automatic,4.7,89810,59553,Low
X5,2018,South America,Red,Petrol,Automatic,5.0,5123,67346,Low
M5,2010,North America,Red,Electric,Automatic,3.3,6150,78129,High
7 Series,2024,Europe,Red,Diesel,Automatic,4.4,169372,67679,Low
X3,2010,Asia,Red,Electric,Manual,1.7,25199,92725,High
M3,2012,Africa,White,Electric,Manual,2.5,169446,65394,Low
X6,2015,Europe,Silver,Diesel,Automatic,2.8,95050,41735,High
i3,2011,North America,White,Electric,Automatic,4.9,45660,65397,Low
X6,2019,North America,Blue,Petrol,Manual,1.5,195836,57425,Low
5 Series,2021,Middle East,Silver,Petrol,Manual,2.6,199431,53414,Low
M3,2020,Africa,Blue,Diesel,Automatic,4.8,163116,119380,Low
X1,2010,Africa,Silver,Hybrid,Automatic,2.6,53508,34277,Low
X1,2010,Asia,White,Diesel,Manual,2.3,137790,52869,High
X5,2022,Middle East,Black,Hybrid,Manual,4.1,136521,99349,High
5 Series,2014,Asia,Red,Electric,Manual,4.1,54442,98975,Low
M3,2013,Asia,White,Petrol,Manual,3.2,62039,112428,Low
7 Series,2010,South America,Black,Hybrid,Manual,4.8,112878,76725,Low
X6,2013,Asia,Silver,Petrol,Manual,2.2,61985,80853,Low
i8,2012,South America,Red,Electric,Automatic,4.7,181079,79987,Low
i3,2011,South America,Black,Hybrid,Manual,4.1,153848,67409,Low
M3,2018,Middle East,Silver,Electric,Manual,2.8,95659,37006,Low
X3,2023,Europe,White,Petrol,Automatic,4.3,43415,41496,Low
i3,2024,Africa,Black,Hybrid,Manual,2.0,164993,74515,High
3 Series,2020,Africa,Silver,Hybrid,Manual,2.0,58247,98600,Low
X5,2010,South America,Grey,Electric,Manual,4.8,135467,72815,Low
5 Series,2016,North America,Red,Hybrid,Manual,1.8,175673,56938,Low
3 Series,2023,South America,White,Diesel,Manual,1.5,151555,98647,Low
X3,2022,Middle East,Silver,Electric,Manual,2.9,62155,116593,Low
i8,2013,Asia,Black,Diesel,Automatic,1.9,11382,49977,Low
X6,2014,Middle East,Blue,Petrol,Automatic,4.5,128358,33409,Low
i8,2019,Europe,White,Diesel,Manual,4.7,141391,101837,Low
X6,2014,Middle East,Blue,Diesel,Manual,3.2,98512,91088,Low
i3,2010,South America,Black,Electric,Manual,3.0,27608,83315,Low
5 Series,2015,Africa,Silver,Petrol,Manual,3.4,167410,75571,Low
i3,2022,North America,Grey,Petrol,Automatic,2.3,114873,42387,Low
X5,2018,Middle East,Blue,Diesel,Manual,2.5,99987,70462,Low
7 Series,2011,Europe,White,Diesel,Manual,1.9,50462,86777,Low
i8,2016,Asia,White,Electric,Automatic,3.1,7409,92085,High
X6,2015,South America,White,Electric,Manual,3.6,154333,30580,High
X5,2014,Asia,Grey,Hybrid,Manual,4.8,73909,90491,Low
7 Series,2013,Africa,Grey,Petrol,Manual,4.1,37621,79322,Low
i3,2013,North America,White,Petrol,Manual,4.0,122074,94946,High
M3,2015,Middle East,Blue,Hybrid,Automatic,2.6,194957,118974,Low
i8,2013,South America,White,Diesel,Manual,4.6,144336,30461,Low
X5,2014,Africa,White,Hybrid,Manual,4.8,184451,35257,High
X5,2022,Middle East,Red,Hybrid,Manual,4.8,119273,46407,Low
M3,2015,Asia,Silver,Diesel,Automatic,1.6,76354,85670,Low
X1,2014,Middle East,Black,Electric,Automatic,3.6,76659,109657,High
3 Series,2016,Europe,Silver,Diesel,Automatic,3.8,294,54147,Low
X6,2018,Europe,Silver,Petrol,Manual,2.5,149218,93736,Low
X1,2019,Africa,Silver,Electric,Automatic,5.0,157516,115057,Low
i3,2016,Africa,White,Diesel,Manual,2.5,19506,35837,Low
X6,2016,Africa,Grey,Electric,Automatic,2.3,13603,55073,Low
X1,2013,Asia,Red,Petrol,Automatic,3.2,59502,40664,High
i8,2010,Africa,Black,Electric,Automatic,2.6,11995,71156,Low
5 Series,2023,Africa,Red,Diesel,Manual,4.7,172531,68456,Low
i3,2017,Asia,Blue,Diesel,Manual,3.0,144671,42179,High
5 Series,2013,North America,White,Hybrid,Automatic,2.9,35563,62533,Low
X6,2010,North America,Red,Electric,Automatic,3.7,46285,106999,Low
M5,2014,Europe,Grey,Electric,Automatic,1.8,112290,66999,High
X1,2023,Middle East,White,Diesel,Manual,4.1,34149,45132,Low
i8,2023,Asia,White,Electric,Manual,4.2,151679,106254,High
M5,2017,Middle East,Grey,Petrol,Automatic,3.2,5422,31701,Low
i8,2013,North America,Blue,Petrol,Automatic,4.8,55236,99224,Low
X5,2022,North America,Silver,Diesel,Automatic,3.5,123391,59662,Low
M5,2021,North America,White,Petrol,Automatic,3.9,172421,85449,Low
7 Series,2017,North America,Blue,Electric,Manual,4.7,151667,98462,High
3 Series,2017,Middle East,Black,Electric,Manual,3.8,111805,83944,Low
X5,2012,North America,Blue,Hybrid,Manual,3.0,93546,103522,Low
X1,2018,North America,Grey,Petrol,Automatic,1.6,129528,81960,High
X3,2012,North America,Grey,Hybrid,Automatic,4.0,13488,73593,Low
i3,2010,Asia,White,Hybrid,Manual,4.9,146443,114009,Low
7 Series,2011,Asia,Red,Diesel,Automatic,3.1,182855,38162,High
3 Series,2024,Europe,Red,Hybrid,Automatic,2.7,63084,101956,Low
X3,2015,South America,Black,Petrol,Manual,3.3,83793,83274,Low
3 Series,2021,Africa,Blue,Diesel,Manual,4.0,145778,72063,Low
X5,2019,Africa,Blue,Hybrid,Automatic,1.5,132753,48610,Low
i8,2011,North America,Red,Diesel,Manual,4.6,53065,89915,High
3 Series,2015,Europe,Blue,Hybrid,Manual,4.6,138437,69319,Low
3 Series,2023,Asia,Blue,Hybrid,Manual,3.4,2820,93048,Low
X5,2010,South America,Grey,Hybrid,Automatic,1.9,186476,99802,Low
3 Series,2020,Middle East,Grey,Diesel,Automatic,3.9,115798,105356,Low
i3,2022,Asia,White,Petrol,Automatic,2.0,43096,87129,Low
M5,2010,Asia,White,Hybrid,Automatic,3.3,44806,54650,Low
X6,2014,Asia,Red,Petrol,Manual,1.8,159530,65805,High
7 Series,2019,Europe,Grey,Petrol,Manual,3.6,91436,62709,Low
7 Series,2022,Middle East,Black,Petrol,Automatic,2.6,193220,78701,Low
M3,2020,Europe,Silver,Electric,Manual,4.4,92541,60066,Low
3 Series,2018,Asia,Grey,Petrol,Manual,4.3,59026,82749,Low
5 Series,2023,Middle East,Grey,Electric,Manual,5.0,103907,63750,Low
M5,2017,Asia,Silver,Hybrid,Automatic,2.4,81451,39217,High
X6,2012,Middle East,Silver,Petrol,Manual,1.7,59505,42612,Low
X1,2024,Middle East,White,Electric,Manual,3.1,13994,77464,Low
X1,2012,Middle East,Silver,Hybrid,Automatic,1.8,97528,71319,Low
X6,2024,Africa,Grey,Hybrid,Automatic,2.1,130939,112240,High
X1,2010,South America,Grey,Diesel,Automatic,3.6,144529,71925,High
X6,2023,Africa,Blue,Diesel,Automatic,3.6,120636,46832,High
M5,2012,North America,Grey,Diesel,Manual,1.7,194219,79605,Low
X5,2024,Africa,Red,Diesel,Manual,3.1,53064,35562,High
7 Series,2023,Middle East,Silver,Hybrid,Automatic,3.4,29876,106447,Low
7 Series,2021,Africa,Silver,Hybrid,Automatic,2.4,67383,85205,Low
M3,2021,Middle East,Silver,Electric,Automatic,4.6,176229,61982,Low
M5,2021,North America,Red,Diesel,Automatic,2.1,191136,110845,Low
X3,2022,Middle East,Blue,Hybrid,Automatic,2.4,160515,86988,High
3 Series,2020,Asia,Grey,Hybrid,Manual,2.0,13718,94068,Low
M3,2010,Africa,White,Petrol,Manual,1.9,98211,110813,Low
M3,2017,Middle East,Silver,Petrol,Automatic,4.6,7897,116400,Low
i8,2010,Asia,Blue,Petrol,Manual,2.5,1706,45454,High
X3,2014,Africa,White,Hybrid,Manual,4.0,50112,86703,High
i3,2018,Europe,Black,Hybrid,Manual,3.0,95146,99509,Low
M5,2016,Africa,Black,Diesel,Manual,3.7,79903,95827,Low
7 Series,2013,South America,Black,Hybrid,Manual,4.7,159983,111983,Low
X5,2020,North America,White,Hybrid,Automatic,4.5,190578,108048,High
X6,2018,North America,Red,Diesel,Manual,1.7,109403,93322,Low
M3,2018,Africa,Blue,Electric,Automatic,4.5,56407,38521,High
i8,2011,Africa,Black,Petrol,Manual,3.1,55820,65968,Low
i8,2019,Africa,Blue,Petrol,Automatic,2.7,167867,116609,Low
i8,2019,Asia,Silver,Electric,Manual,3.9,189792,68861,Low
7 Series,2020,Middle East,White,Petrol,Automatic,4.8,47115,37896,Low
3 Series,2021,Africa,Blue,Electric,Manual,1.8,180860,90703,High
X3,2015,Europe,Silver,Diesel,Automatic,4.2,160909,71601,Low
i3,2013,Middle East,Blue,Hybrid,Automatic,2.2,44044,91155,Low
7 Series,2017,Europe,Red,Electric,Manual,2.8,57007,57791,Low
X1,2021,South America,Blue,Hybrid,Automatic,4.6,165948,79715,Low
X6,2020,Asia,Blue,Diesel,Automatic,3.4,18360,59977,Low
X1,2016,North America,Blue,Petrol,Automatic,1.7,56666,100144,Low
7 Series,2016,Asia,Silver,Diesel,Automatic,3.3,118403,42951,Low
X6,2020,Europe,Black,Petrol,Manual,4.3,58599,112149,Low
X5,2019,Europe,Red,Diesel,Automatic,3.4,143544,54361,Low
X3,2018,Europe,Silver,Diesel,Manual,2.1,185710,79585,High
7 Series,2022,Europe,Silver,Petrol,Manual,3.1,141350,43450,High
3 Series,2014,South America,Blue,Hybrid,Automatic,4.7,122686,114541,Low
i3,2015,North America,Silver,Electric,Manual,3.8,85863,99731,Low
M3,2010,South America,Grey,Petrol,Manual,4.1,104017,106110,Low
X5,2015,North America,Black,Hybrid,Manual,4.3,153262,105785,Low
X5,2011,Middle East,Blue,Petrol,Manual,1.8,59870,33401,Low
X3,2015,North America,Red,Electric,Automatic,3.5,94425,38240,Low
i3,2018,Europe,Black,Petrol,Manual,2.8,116758,34508,Low
X1,2017,Middle East,Silver,Electric,Manual,2.0,47027,56379,Low
X6,2018,Middle East,Silver,Electric,Automatic,2.2,119415,97698,High
M5,2022,Africa,Red,Petrol,Manual,4.2,75129,112597,Low
M3,2024,Middle East,Silver,Electric,Manual,2.1,51575,44646,Low
5 Series,2019,North America,Blue,Diesel,Automatic,2.6,85103,59772,Low
i8,2017,South America,Grey,Hybrid,Automatic,2.5,87745,84732,High
M5,2012,Middle East,Grey,Electric,Manual,1.7,63653,45951,High
X3,2017,Asia,Grey,Electric,Automatic,3.1,72650,112515,Low
X1,2015,Middle East,Red,Diesel,Manual,4.2,105988,30145,Low
M5,2022,North America,Grey,Petrol,Manual,1.6,166797,41583,Low
X5,2015,Middle East,White,Electric,Manual,1.9,112847,73494,High
7 Series,2015,Europe,Grey,Electric,Automatic,4.0,11311,108030,Low
3 Series,2012,Europe,Black,Hybrid,Manual,3.6,23080,96688,Low
X6,2019,South America,Red,Petrol,Manual,4.0,131108,70388,Low
X1,2010,Middle East,Black,Hybrid,Manual,2.3,31892,86267,Low
X6,2021,Europe,Blue,Electric,Manual,4.3,6535,64443,Low
3 Series,2023,Middle East,Red,Petrol,Manual,3.2,61645,55743,High
7 Series,2013,Africa,Silver,Diesel,Automatic,3.6,149640,59224,Low
3 Series,2019,Europe,Red,Hybrid,Manual,1.8,170379,43973,Low
M3,2021,Asia,White,Petrol,Manual,2.2,13848,48162,Low
M3,2015,Middle East,Blue,Electric,Automatic,4.2,150292,60046,High
i8,2020,Africa,White,Hybrid,Automatic,2.3,74925,71520,Low
3 Series,2021,Africa,Red,Diesel,Automatic,1.8,40161,72229,High
X5,2019,Asia,Black,Electric,Manual,3.6,122393,45732,Low
3 Series,2011,South America,White,Diesel,Manual,3.4,124157,57397,Low
3 Series,2016,Asia,Silver,Electric,Automatic,3.6,114805,93599,High
X6,2016,North America,Red,Hybrid,Manual,3.7,34968,52914,Low
7 Series,2020,Asia,Blue,Diesel,Automatic,3.3,179623,82057,Low
3 Series,2013,South America,White,Diesel,Manual,3.2,7229,63573,Low
X6,2013,South America,Silver,Diesel,Manual,4.7,55324,78799,High
X1,2024,Europe,Grey,Hybrid,Automatic,3.4,27605,55368,Low
i3,2010,North America,Blue,Petrol,Automatic,3.7,6241,48309,Low
M5,2022,Europe,White,Electric,Manual,2.4,52242,33186,Low
5 Series,2011,South America,Red,Diesel,Manual,4.5,92337,55326,Low
7 Series,2018,Africa,Black,Diesel,Automatic,1.6,156997,99579,Low
5 Series,2019,Europe,Grey,Hybrid,Manual,3.5,3023,76881,Low
3 Series,2017,Middle East,Black,Petrol,Automatic,2.8,92768,109803,Low
M3,2017,Europe,Silver,Diesel,Automatic,3.6,49493,54012,Low
M3,2018,South America,White,Hybrid,Automatic,2.8,39918,110518,Low
X1,2024,Europe,Grey,Petrol,Manual,4.0,127607,34835,High
X3,2016,North America,Blue,Diesel,Manual,1.6,107240,60298,Low
7 Series,2022,Europe,Grey,Electric,Manual,2.9,92227,87401,Low
i3,2018,Middle East,White,Hybrid,Automatic,4.4,110276,75090,High
X3,2019,Middle East,Silver,Diesel,Manual,2.4,91467,93052,Low
3 Series,2021,Europe,Grey,Diesel,Manual,1.7,153184,72193,High
i8,2011,Asia,Blue,Electric,Automatic,3.2,39986,87618,Low
3 Series,2015,Asia,Blue,Diesel,Automatic,4.9,187450,113594,Low
5 Series,2024,Middle East,White,Hybrid,Automatic,1.7,81864,116579,Low
7 Series,2012,Africa,Black,Electric,Manual,1.7,148414,60904,High
7 Series,2020,Middle East,Black,Electric,Manual,3.6,75390,76667,Low
X1,2024,North America,Grey,Diesel,Automatic,2.4,126123,80073,Low
X3,2015,South America,Silver,Petrol,Automatic,2.9,60279,50149,High
7 Series,2012,Africa,Blue,Diesel,Automatic,4.4,109021,96908,Low
X1,2017,Africa,Black,Hybrid,Automatic,2.2,14428,80960,High
M5,2024,Middle East,Black,Diesel,Manual,4.0,64172,70966,High
3 Series,2020,Africa,Blue,Hybrid,Automatic,3.3,2227,107970,Low
i8,2024,Africa,Grey,Petrol,Automatic,4.7,141840,76410,Low
X1,2022,Asia,White,Petrol,Automatic,4.9,98850,83929,Low
5 Series,2013,Asia,Silver,Electric,Manual,3.2,87085,85687,High
7 Series,2021,South America,Blue,Diesel,Automatic,3.5,171939,30487,High
X1,2019,North America,Grey,Hybrid,Automatic,4.1,175107,85759,Low
i8,2015,North America,Red,Diesel,Automatic,2.6,80700,94461,High
i8,2024,Europe,Blue,Electric,Automatic,2.3,175296,116242,High
M5,2018,South America,Silver,Petrol,Automatic,4.9,170469,57303,High
X3,2011,Middle East,Silver,Hybrid,Manual,3.0,117802,57521,Low
M5,2011,Middle East,Silver,Diesel,Manual,1.5,78618,114965,Low
X3,2016,Africa,Blue,Petrol,Automatic,4.4,149211,79731,Low
3 Series,2024,Asia,White,Electric,Automatic,3.6,154712,37983,Low
X1,2011,Africa,Grey,Petrol,Manual,2.1,25559,36404,Low
X6,2011,South America,Silver,Petrol,Manual,1.6,77249,73474,Low
i3,2013,Middle East,Grey,Petrol,Manual,2.5,155954,32664,Low
5 Series,2018,Africa,Silver,Diesel,Automatic,4.7,99669,33042,Low
M3,2017,Africa,White,Diesel,Automatic,4.8,17745,62671,Low
X5,2011,Africa,Blue,Diesel,Automatic,2.6,149557,65816,Low
M3,2017,Europe,Silver,Electric,Automatic,4.4,96479,58215,High
X6,2013,Asia,Silver,Petrol,Manual,3.0,181570,89120,Low
5 Series,2011,North America,Red,Diesel,Manual,3.8,9708,81466,Low
i3,2020,Africa,Grey,Petrol,Automatic,2.7,19353,90937,High
5 Series,2019,Africa,Grey,Electric,Automatic,3.3,106939,118784,High
X6,2016,Middle East,Grey,Diesel,Manual,2.5,87533,107602,High
X1,2015,North America,Silver,Petrol,Manual,1.7,62763,44878,High
7 Series,2023,Europe,Silver,Electric,Automatic,2.0,68616,31139,High
M3,2019,Europe,Grey,Electric,Manual,2.5,145950,72440,High
i8,2014,North America,Silver,Electric,Automatic,4.9,140483,103371,Low
5 Series,2020,Middle East,Grey,Hybrid,Manual,4.9,52549,56549,Low
M3,2010,Middle East,Grey,Diesel,Automatic,4.4,32458,93485,Low
M5,2011,Africa,Grey,Petrol,Manual,2.3,191079,45371,Low
i8,2017,Europe,White,Electric,Manual,3.0,133836,41811,Low
M3,2010,Africa,Silver,Petrol,Automatic,3.0,69170,113418,Low
M5,2012,Middle East,Black,Diesel,Manual,2.9,25981,66081,Low
X1,2011,Middle East,Red,Petrol,Manual,1.7,38545,82970,Low
X1,2014,South America,Silver,Diesel,Automatic,3.4,120857,34089,High
X5,2013,Middle East,Silver,Electric,Manual,1.8,40406,101567,Low
i3,2022,North America,Blue,Electric,Automatic,4.3,32470,96265,High
X3,2016,South America,Silver,Diesel,Manual,3.9,158770,51572,Low
3 Series,2014,South America,Grey,Diesel,Automatic,2.7,87428,114960,Low
M3,2017,North America,Red,Diesel,Automatic,3.8,175241,30136,High
i3,2013,Middle East,White,Petrol,Manual,2.3,91566,38783,Low
X5,2024,North America,Black,Hybrid,Automatic,2.4,192210,47421,High
5 Series,2021,Europe,Grey,Electric,Manual,2.6,37646,59386,Low
M5,2015,Asia,Grey,Diesel,Automatic,4.3,51602,33124,High
X5,2013,North America,Blue,Hybrid,Automatic,2.2,165730,101016,Low
7 Series,2011,North America,Grey,Electric,Automatic,3.5,65700,117651,Low
i3,2010,Middle East,Silver,Petrol,Automatic,2.2,97054,58927,Low
3 Series,2023,Asia,Silver,Diesel,Manual,2.5,154559,115685,Low
X1,2023,North America,Silver,Hybrid,Automatic,2.3,124391,103218,Low
7 Series,2010,Africa,Silver,Electric,Automatic,3.8,82260,57766,High
7 Series,2017,Europe,White,Diesel,Automatic,3.3,95414,62147,Low
M5,2023,Middle East,Grey,Diesel,Automatic,4.0,42323,77349,Low
M5,2013,North America,Red,Electric,Manual,2.3,149307,78606,High
7 Series,2014,Africa,Blue,Petrol,Automatic,1.5,102521,97125,Low
5 Series,2020,Europe,Red,Hybrid,Automatic,3.9,39089,53167,High
X1,2017,South America,White,Petrol,Manual,1.9,107819,78734,Low
X5,2021,Middle East,Black,Petrol,Manual,2.4,192135,101210,Low
X6,2024,Asia,Silver,Hybrid,Manual,2.6,146183,95937,High
3 Series,2016,Middle East,Red,Hybrid,Automatic,4.1,137760,107505,Low
5 Series,2022,Europe,White,Diesel,Manual,3.7,179162,102559,High
5 Series,2017,South America,White,Hybrid,Automatic,2.1,176157,85373,Low
